"cry";"volume";"gelo";"percgel";"percin";"percat";"difpercatin";"preop";"prein";"preat";"presup";"difsupperc";"preres";"difresperc";"qualymes";"rmaxtu";"acumperc";"maxperc";"minperc";"aumeperc";"final"
"ONT";6.693;0.4927;-1.58;-3.727;-3.35;-10.12;0.5017;0.483;0.4849;0.4817;0.66;0.4845;0.08;3633;0.02;0.393;0.414;-0.041;-0.021;-0.994
"OOKI";116.984;0.01318;44.69;45.913;45.68;-0.51;0.01309;0.0191;0.01907;0.00932;51.13;1.8;-9338.91;3;0.33;-0.157;0.942;-1.257;0.899;8.639
"ORN";1.819;4.13;-6.66;-6.736;-6.93;2.88;4.142;3.863;3.855;3.874;-0.49;13.187;-242.08;633;0.39;-0.207;0;-0.259;0;-1.113
"OXT";0.745;0.243;-4.49;-4.844;-4.72;-2.56;0.2436;0.2318;0.2321;0.2302;0.82;0.234;-0.82;63;0.44;0.129;0.129;0;0;-0.647
"PAXG";4.068;1805;0.5;0.387;0.39;0.78;1807;1814;1814;1810;0.22;1816;-0.11;336;0.32;0;0;0;0;-0.165
"PEOPLE";71.495;0.0891;-12.57;-7.701;-7.7;-0.01;0.0844;0.0779;0.0779;0.07;10.14;0.1048;-34.53;3;0.33;0;0.257;-0.128;-0.256;-6.418
"PERL";0.891;0.05017;-4.21;-7.648;-7.65;0.03;0.05204;0.04806;0.04806;0.04789;0.35;0.04953;-3.06;63;0.68;0;0;-0.062;0;0.187
"PERP";1.166;6.32;-5.85;-7.042;-6.89;-2.16;6.39;5.94;5.95;5.9;0.84;23.13;-288.74;63;0.5;0.168;0.168;0;0;-0.842
"PHA";3.568;0.2512;-1.75;-2.56;-2.8;9.37;0.2539;0.2474;0.2468;0.2457;0.45;0.2476;-0.32;33;0.44;-0.243;0;-0.243;0;0.485
"PLA";0.748;0.907;4.3;0.653;2.94;350.23;0.919;0.925;0.946;0.858;9.3;0.96;-1.48;3;0.25;2.27;2.811;0;0.853;-3.027
"PNT";1.054;0.6079;-4.1;-4.679;-4.63;-1.05;0.6113;0.5827;0.583;0.5816;0.24;0.585;-0.34;633;0.38;0.051;0.069;0;0;-0.583
"POLS";0.743;1.576;-5.01;-5.063;-5.25;3.69;1.58;1.5;1.497;0.8;46.56;5.27;-252.04;6;0.8;-0.2;0;-0.2;0;-1.267
"POLY";6.653;0.4036;2.5;5.392;4.23;-21.55;0.3969;0.4183;0.4137;0.42;-1.52;0.4445;-7.45;33;0.33;-1.1;0;-1.387;0.073;-3.562
